.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,#,.,#,#,B,#,.,.,.,.,.,.,.,.,.,.,.,.,#,#
B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,S,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.
B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.
B,B,B,B,.,.,.,.,#,.,.,.,.,.,.,B,B,B,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,.,.,.,#,#
B,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,B,B,B,.,.,.,.,.,.,.,#,.,#,#,#,.,.,.,.,.,.,.,.,.,B,B,B,B,B,#,.,.,.,#,#
.,Y,Y,Y,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,B,B,B,#,Y,Y,Y,#,#
.,Y,Y,#,B,.,.,.,.,.,G,G,G,.,.,.,.,.,G,G,G,.,#,#,#,.,B,#,#,#,.,.,.,.,.,.,.,.,.,.,.,B,B,B,Y,Y,Y,Y,.,.
.,Y,Y,#,B,.,#,.,.,.,G,G,G,.,.,.,.,.,G,G,G,.,#,#,#,.,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.
.,.,B,B,B,.,#,.,.,.,G,G,G,.,#,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,#,.,.,#,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,#,.,.,.,.,.,.,.,.,.,G,G,G,G,.,.
.,.,.,.,#,#,#,.,.,.,.,.,.,.,#,#,#,.,#,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,#,#,#,.,G,G,G,G,.,.
.,.,.,.,#,#,#,.,.,.,.,.,.,.,#,#,#,B,.,.,.,.,.,.,.,.,.,.,G,G,G,G,G,.,G,G,.,.,.,.,.,.,.,.,G,G,G,G,.,.
.,.,.,.,#,#,#,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,.,.,.,.,.,.,G,G,G,G,G,.,G,G,.,.,.,.,#,#,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,#,#,#,.,.,#,#,.,.,#,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.,G,G,.,.,.,.,.,G,G,G,.,.,.,.,.,.
.,.,.,G,G,G,.,.,.,.,.,.,#,#,.,.,#,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.
.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.
.,.,.,G,G,G,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.
